neighborhood,price,bedrooms,longitude,subregion,latitude,sqft,blockfips,countyfips,countyname,price_sqft,price_sqft_cat
san jose south,2680,3,-121.850163,South Bay,37.240343,1593,6.08551E+13,6085,Santa Clara,1.682360326,1
fairfield / vacaville,1650,4,-122.020519,East Bay,38.281415,1953,6.09525E+13,6095,Solano,0.844854071,0
los gatos,2395,2,-121.977316,South Bay,37.232652,940,6.08551E+13,6085,Santa Clara,2.54787234,2
SOMA / south beach,3080,1,-122.3971,SF,37.7621,725,6.07502E+13,6075,San Francisco,4.248275862,4
oakland east,1690,3,-122.165651,East Bay,37.76035,1400,6.00141E+13,6001,Alameda,1.207142857,0
larkspur,3995,2,-122.519188,North Bay,37.946363,1650,6.04112E+13,6041,Marin,2.421212121,2
santa rosa,1350,2,-122.762669,North Bay,38.425178,888,6.09715E+13,6097,Sonoma,1.52027027,0
"Vallejo, Fairfield, Martinez",1250,2,-122.241874,East Bay,38.083062,870,6.09525E+13,6095,Solano,1.436781609,0
san jose downtown,1540,1,-121.931867,South Bay,37.316142,600,6.0855E+13,6085,Santa Clara,2.566666667,2
rohnert pk / cotati,1400,2,-122.694898,North Bay,38.344114,900,6.09715E+13,6097,Sonoma,1.555555556,0
foster city,2850,2,-122.274458,Peninsula,37.55895,1230,6.08161E+13,6081,San Mateo,2.317073171,2
"Vallejo, Fairfield, Crockett",1250,2,-122.241874,East Bay,38.083062,870,6.09525E+13,6095,Solano,1.436781609,0
oakland west,2500,3,-122.295894,East Bay,37.809541,1400,6.0014E+13,6001,Alameda,1.785714286,1
redwood city,3250,3,-122.233377,Peninsula,37.474637,1500,6.08161E+13,6081,San Mateo,2.166666667,1
san jose north,3309,3,-121.93805,South Bay,37.412846,1297,6.08551E+13,6085,Santa Clara,2.551272167,2
mountain view,1650,1,-122.115774,South Bay,37.40474,700,6.08551E+13,6085,Santa Clara,2.357142857,2
larkspur,3095,2,-122.506747,North Bay,37.948557,950,6.04112E+13,6041,Marin,3.257894737,4
mountain view,1995,,-122.097262,Peninsula,37.403332,418,6.08551E+13,6085,Santa Clara,4.772727273,4
tiburon / belvedere,2150,2,-122.495984,North Bay,37.897525,1050,6.04112E+13,6041,Marin,2.047619048,1
richmond / seacliff,1000,,-122.487548,SF,37.77448,180,6.07505E+13,6075,San Francisco,5.555555556,4
san rafael,3003,3,-122.530689,North Bay,38.02105,1159,6.04111E+13,6041,Marin,2.591026747,2
san jose south,1890,1,-121.831163,South Bay,37.266543,739,6.08551E+13,6085,Santa Clara,2.557510149,2
campbell,2275,2,-121.935604,South Bay,37.285834,1128,6.0855E+13,6085,Santa Clara,2.016843972,1
vallejo / benicia,1650,3,-122.240219,East Bay,38.08162,1380,6.09525E+13,6095,Solano,1.195652174,0
santa rosa,2149,2,-122.725664,North Bay,38.478182,1375,6.09715E+13,6097,Sonoma,1.562909091,0
san jose south,1775,2,-121.838805,South Bay,37.313816,862,6.0855E+13,6085,Santa Clara,2.059164733,1
san jose north,2420,1,-121.942672,South Bay,37.410227,856,6.08551E+13,6085,Santa Clara,2.827102804,3
palo alto,8500,4,-122.146108,Peninsula,37.446538,2700,6.08551E+13,6085,Santa Clara,3.148148148,3
san mateo,1995,2,-122.326781,Peninsula,37.578635,762,6.08161E+13,6081,San Mateo,2.618110236,3
fairfield / vacaville,1450,1,-121.994038,East Bay,37.580085,630,6.00144E+13,6001,Alameda,2.301587302,2
sunnyvale,1595,1,-122.019846,South Bay,37.384668,650,6.08551E+13,6085,Santa Clara,2.453846154,2
brisbane,4195,4,-122.407839,Peninsula,37.679975,2560,6.0816E+13,6081,San Mateo,1.638671875,1
foster city,2600,2,-122.261543,Peninsula,37.555698,1020,6.08161E+13,6081,San Mateo,2.549019608,2
san anselmo,4750,4,-122.58339,North Bay,38.011422,2800,6.04112E+13,6041,Marin,1.696428571,1
san jose west,1930,1,-121.973133,South Bay,37.318895,825,6.08551E+13,6085,Santa Clara,2.339393939,2
palo alto,2195,2,-122.112179,Peninsula,37.409028,900,6.08551E+13,6085,Santa Clara,2.438888889,2
sonoma,1250,,-122.5196,North Bay,38.3662,600,6.09715E+13,6097,Sonoma,2.083333333,1
dublin / pleasanton / livermore,1945,1,-121.872367,East Bay,37.701329,708,6.00145E+13,6001,Alameda,2.747175141,3
san jose downtown,2595,2,-121.904866,South Bay,37.331841,1185,6.0855E+13,6085,Santa Clara,2.189873418,2
mill valley,4950,3,-122.506142,North Bay,37.896666,1100,6.04113E+13,6041,Marin,4.5,4
santa rosa,1492,1,-122.6393,North Bay,38.4592,630,6.09715E+13,6097,Sonoma,2.368253968,2
ingleside / SFSU / CCSF,3150,3,-122.454283,SF,37.723492,1600,6.07503E+13,6075,San Francisco,1.96875,1
russian hill,5995,2,-122.415572,SF,37.79868,1200,6.07501E+13,6075,San Francisco,4.995833333,4
los altos,5600,3,-122.11647,Peninsula,37.399295,2200,6.08551E+13,6085,Santa Clara,2.545454545,2
dublin / pleasanton / livermore,2925,4,-121.907235,East Bay,37.689593,1806,6.00145E+13,6001,Alameda,1.619601329,0
downtown / civic / van ness,2506,,-122.417182,SF,37.776287,476,6.07502E+13,6075,San Francisco,5.264705882,4
mountain view,2950,1,-122.11223,Peninsula,37.40344,693,6.08551E+13,6085,Santa Clara,4.256854257,4
mill valley,1325,,-122.539326,North Bay,37.890003,390,6.04113E+13,6041,Marin,3.397435897,4
menlo park,2000,2,-122.160808,Peninsula,37.461736,800,6.08161E+13,6081,San Mateo,2.5,2
east palo alto,2200,1,-122.127004,Peninsula,37.451175,776,6.08551E+13,6085,Santa Clara,2.835051546,3
daly city,2650,3,-122.46192,Peninsula,37.70577,1809,6.0816E+13,6081,San Mateo,1.464897734,0
pacific heights,5000,2,-122.427622,SF,37.794256,1155,6.07501E+13,6075,San Francisco,4.329004329,4
cupertino,2750,2,-122.032205,South Bay,37.33687,1005,6.08551E+13,6085,Santa Clara,2.736318408,3
concord / pleasant hill / martinez,1525,2,-122.10061,East Bay,37.994495,903,6.01332E+13,6013,Contra Costa,1.688815061,1
SOMA / south beach,4700,2,-122.396536,SF,37.778245,1300,6.07502E+13,6075,San Francisco,3.615384615,4
santa clara,2112,1,-121.94053,South Bay,37.337745,700,6.08551E+13,6085,Santa Clara,3.017142857,3
santa rosa,1500,2,-122.7693,North Bay,38.435512,1000,6.09715E+13,6097,Sonoma,1.5,0
san jose north,2950,4,-121.863956,South Bay,37.366883,2685,6.0855E+13,6085,Santa Clara,1.098696462,0
