rent,bedrooms,sqft,latitude,longitude,date
2300.0,3.0,,37.647878999999996,-122.13237,2014-06-11
4500.0,4.0,,37.373193,-121.882131,2014-05-31
1099.0,1.0,,38.011072999999996,-121.82824699999999,2014-05-26
5200.0,3.0,,37.37994000000001,-122.08417299999999,2014-07-09
1295.0,,,37.330253000000006,-121.87481399999999,2014-05-31
,,,37.8738,-122.2549,2014-05-21
800.0,2.0,800.0,39.063821999999995,-122.91380900000001,2014-06-30
8200.0,3.0,2267.0,37.434521999999994,-122.13724099999999,2014-07-06
3800.0,3.0,2200.0,37.7166,-121.9226,2014-05-26
2200.0,2.0,817.0,37.6787,-122.478,2014-06-09
2095.0,1.0,,37.470463,-122.21661200000001,2014-06-19
4595.0,2.0,1500.0,37.4443,-122.1497,2014-06-24
2500.0,2.0,,37.778991999999995,-122.485929,2014-06-30
3295.0,1.0,800.0,37.775684999999996,-122.454847,2014-06-11
2400.0,2.0,1200.0,37.491477,-121.92523999999999,2014-05-11
1950.0,2.0,975.0,37.374981,-121.848078,2014-06-30
3995.0,2.0,,37.802621,-122.414681,2014-07-08
2400.0,2.0,1150.0,36.971484999999994,-122.01863999999999,2014-05-21
2095.0,2.0,800.0,37.366844,-122.04098700000002,2014-05-21
2398.0,4.0,1200.0,37.815514,-122.276523,2014-07-08
1595.0,,,37.774802,-122.42331499999999,2014-05-20
1750.0,1.0,600.0,37.361613,-121.84022399999999,2014-07-01
2600.0,5.0,2993.0,38.242567,-122.0417,2014-06-24
1295.0,,450.0,37.853509,-122.269228,2014-05-27
2955.0,2.0,988.0,37.313365999999995,-121.97673799999998,2014-07-02
2600.0,3.0,,37.348997999999995,-121.887405,2014-05-22
1800.0,3.0,1336.0,38.361113,-122.690697,2014-05-11
2656.0,1.0,700.0,37.368941,-122.063572,2014-06-30
2500.0,,,37.356212,-121.95643500000001,2014-05-16
1400.0,1.0,,37.678242,-122.095689,2014-06-27
5800.0,3.0,1800.0,37.746547,-122.41506499999998,2014-06-27
1359.0,1.0,,37.311541999999996,-121.917767,2014-05-24
6800.0,2.0,1000.0,37.805689,-122.43554499999999,2014-06-01
1100.0,2.0,,38.265832,-122.008774,2014-06-30
1695.0,3.0,1230.0,38.016545,-121.932331,2014-05-20
3200.0,3.0,2058.0,37.525308,-121.931178,2014-05-30
1695.0,1.0,,37.4443,-122.1497,2014-05-22
785.0,,,37.016582,-121.576066,2014-06-24
1800.0,2.0,,37.721624,-122.47232199999999,2014-06-08
2045.0,1.0,734.0,37.554957,-121.97523400000001,2014-05-15
1250.0,3.0,1300.0,39.090517,-122.905759,2014-06-23
1925.0,1.0,783.0,37.704357,-121.91158700000001,2014-05-15
